#metadataBlock	name	dataverseAlias	displayName	blockURI														
	citation		Common Metadata	https://dataverse.org/schema/citation/														
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayOnCreate	required	parent	metadatablock_id	termURI		
	distributorAbbreviation	Abbreviation	The abbreviation by which this distributor is commonly known (e.g., IQSS, ICPSR).		text	33	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	distributor	citation			
	distributorURL	URL	Distributor URL points to the distributor's web presence, if appropriate. Enter an absolute URL where the distributor's web site is found, such as http://www.my.org.	Enter full URL, starting with http://	url	34	"<a href=""#VALUE"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	distributor	citation			
	distributorLogoURL	Logo URL	URL of the distributor's logo, which points to this  distributor's web-accessible logo image. Enter an absolute URL where the distributor's logo image is found, such as http://www.my.org/images/logo.gif.	Enter full URL for image, starting with http://	url	35	"<img src=""#VALUE"" alt=""#NAME"" class=""metadata-logo""/><br/>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	distributor	citation			
	distributionDate	Distribution Date	Date that the work was made available for distribution/presentation.	YYYY-MM-DD	date	36		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	dsDescription	Description	A summary describing the purpose, nature, and scope of the Dataset.		none	37		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation			
	dsDescriptionValue	Text	A summary describing the purpose, nature, and scope of the Dataset.		textbox	38	#VALUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	dsDescription	citation			
	dsDescriptionDate	Date	In cases where a Dataset contains more than one description (for example, one might be supplied by the data producer and another prepared by the data repository where the data are deposited), the date attribute is used to distinguish between the two descriptions. The date attribute follows the ISO convention of YYYY-MM-DD.	YYYY-MM-DD	date	39	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	dsDescription	citation			
	language	Language	Language of the Dataset		text	40		TRUE	TRUE	TRUE	FALSE	FALSE	FALSE		citation	http://purl.org/dc/terms/language		
	subject	Subject	Domain-specific Subject Categories that are topically relevant to the Dataset.		text	41		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		citation	http://purl.org/dc/terms/subject		
	keyword	Keyword	Key terms that describe important aspects of the Dataset.		none	42		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation			
	keywordValue	Term	Key terms that describe important aspects of the Dataset. Can be used for building keyword indexes and for classification and retrieval purposes. A controlled vocabulary can be employed. The vocab attribute is provided for specification of the controlled vocabulary in use, such as LCSH, MeSH, or others. The vocabURI attribute specifies the location for the full controlled vocabulary.		text	43	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	keyword	citation			
	keywordTermURI	Term URI	Keyword URI points to the web presence of the term. Enter an absolute URI, starting by http://.	Enter full URI, Ex. http://aims.fao.org/aos/agrovoc/c_12332	url	44	"<a href=""#VALUE"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	keyword	citation			
	keywordVocabulary	Vocabulary	For the specification of the keyword controlled vocabulary in use, such as LCSH, MeSH, or others.		text	45	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	keyword	citation			
	keywordVocabularyURI	Vocabulary URL	Keyword vocabulary URL points to the web presence that describes the keyword vocabulary, if appropriate. Enter an absolute URL where the keyword vocabulary web site is found, such as http://www.my.org.	Enter full URL, starting with http://	url	46	"<a href=""#VALUE"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	keyword	citation			
	topicClassification	Topic Classification	The classification field indicates the broad important topic(s) and subjects that the data cover. Library of Congress subject terms may be used here.		none	47		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation			
	topicClassValue	Term	Topic or Subject term that is relevant to this Dataset.		text	48	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	topicClassification	citation			
	topicClassVocab	Vocabulary	Provided for specification of the controlled vocabulary in use, e.g., LCSH, MeSH, etc.		text	49	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification	citation			
	topicClassVocabURI	Vocabulary URL	Specifies the URL location for the full controlled vocabulary.	Enter full URL, starting with http://	url	50	"<a href=""#VALUE"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	topicClassification	citation			
	kindOfData	Kind of Data	Type of data included in the file.		text	51		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		citation	http://rdf-vocabulary.ddialliance.org/discovery#kindOfData		
	kindOfDataOther	Other Kind of Data	Fill if 'Other' is selected for Kind of Data.		text	52		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation			
	dataOrigin	Data Origin			text	53		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		citation			
	dataSources	Data Sources	List of books, articles, serials, or machine-readable data files that served as the sources of the data collection.		textbox	54		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	https://www.w3.org/TR/prov-o/#wasDerivedFrom		
	originOfSources	Origin of Sources	For historical materials, information about the origin of the sources and the rules followed in establishing the sources should be specified.		textbox	55		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	characteristicOfSources	Characteristic of Sources Noted	Assessment of characteristics and source material.		textbox	56		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	accessToSources	Documentation and Access to Sources	Level of documentation of the original sources.		textbox	57		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	software	Software	Information about the software used to generate the Dataset.		none	58	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	https://www.w3.org/TR/prov-o/#wasGeneratedBy		
	softwareName	Name	Name of software used to generate the Dataset.		text	59	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	software	citation			
	softwareVersion	Version	Version of the software used to generate the Dataset.		text	60	#NAME: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	software	citation			
	series	Series	Information about the Dataset series.		none	61	:	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	seriesName	Name	Name of the dataset series to which the Dataset belongs.		text	62	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	series	citation			
	seriesInformation	Information	History of the series and summary of those features that apply to the series as a whole.		textbox	63	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	series	citation			
	lifeCycleStep	Life cycle step	Specifies the event happening over the data life cycle that is considered significant enough to document.		text	64		TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		citation			
	notesText	Notes	Additional important information about the Dataset.		textbox	65		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	publication	Related Publication	Publications that use the data from this Dataset. The full list of Related Publications will be displayed on the metadata tab.		none	66		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	http://purl.org/dc/terms/isReferencedBy		
	publicationCitation	Citation	The full bibliographic citation for this related publication.		textbox	67	#VALUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	publication	citation	http://purl.org/dc/terms/bibliographicCitation		
	publicationID	ID	Identifiers		none	68		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	publication	citation			
	publicationIDType	ID Type	The type of digital identifier used for this publication (e.g., Digital Object Identifier (DOI)).		text	69	#VALUE: 	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	publicationID	citation	http://purl.org/spar/datacite/ResourceIdentifierScheme		
	publicationIDNumber	ID Number	The identifier for the selected ID type.		text	70	#VALUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	publicationID	citation	http://purl.org/spar/datacite/ResourceIdentifier		
	publicationURL	URL	Link to the publication web page (e.g., journal article page, archive record page, or other).	Enter full URL, starting with http://	url	71	"<a href=""#VALUE"" rel=""noopener"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication	citation	https://schema.org/distribution		
	relatedMaterial	Related Material	Any material related to this Dataset.		textbox	72		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation			
	relatedDataset	Related Datasets			none	73		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	http://purl.org/dc/terms/relation		
	relatedDatasetCitation	Related dataset Citation	Any Datasets that are related to this Dataset, such as previous research on this subject.		textbox	74	#VALUE: 	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDataset	citation	http://purl.org/dc/terms/relation		0
	relatedDatasetIDType	Related dataset ID Type	The type of digital identifier used for this related dataset (e.g., Digital Object Identifier (DOI)).		text	75	#VALUE: 	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDataset	citation			
	relatedDatasetIDNumber	Related dataset ID Number	The identifier for the selected ID type.		text	76	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDataset	citation			
	relatedDatasetURL	Related dataset URL	The URL of the related dataset	Enter full URL, starting with http://	url	77	"<a href=""#VALUE"">#VALUE</a>"	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDataset	citation			
	otherReferences	Other References	Any references that would serve as background or supporting material to this Dataset.		text	78		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	http://purl.org/dc/terms/references		
	grantNumber	Grant Information	Grant Information		none	79	:	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation	https://schema.org/sponsor		
	grantNumberAgency	Grant Agency	Grant Number Agency		text	80	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	grantNumber	citation			
	grantNumberValue	Grant Number	The grant or contract number of the project that  sponsored the effort.		text	81	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	grantNumber	citation			
	project	Project Information	Project that produces data (if the project reuses existing data, fill in the related dataset metadata)		none	82		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		citation			
	projectAcronym	Project Acronym	The acronym of the project	EXPLICA	text	83	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
	projectTitle	Project Title	The full name of the project	Exhaust Pipe noise radiation Modelling by Innovative Computational Aeroacoustics	text	84	(#VALUE)	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	project	citation			
